UniqueID,DateOfBite,Species,Breed,Age,Gender,SpayNeuter,Borough,ZipCode
3488,May 19 2019,DOG,UNKNOWN,,M,FALSE,Bronx,10466
3489,May 19 2019,DOG,UNKNOWN,,M,FALSE,Bronx,10466
3490,May 19 2019,DOG,Shiba Inu,5,M,TRUE,Bronx,10463
3491,May 19 2019,DOG,Yorkshire Terrier,6M,M,FALSE,Bronx,10457
3492,May 16 2019,DOG,LAPSO,4,M,FALSE,Bronx,10466
3494,May 18 2019,DOG,Labrador Retriever Crossbreed,6,M,TRUE,Bronx,10458
3497,May 21 2019,DOG,Labrador Retriever,7,M,FALSE,Bronx,10459
3498,May 21 2019,DOG,MIXED BREED,6,M,FALSE,Bronx,10455
3503,May 20 2019,DOG,Pit Bull,5,M,FALSE,Bronx,10465
3504,May 24 2019,DOG,Yorkshire Terrier Crossbreed,,M,FALSE,Bronx,10465
3507,May 26 2019,DOG,Mixed/Other,1,M,FALSE,Bronx,10457
3508,May 26 2019,DOG,Mixed/Other,1,M,FALSE,Bronx,10457
3509,May 27 2019,DOG,Maltese,5,M,TRUE,Bronx,10452
3512,May 25 2019,DOG,Yorkshire Terrier,5,M,FALSE,Bronx,
3515,June 20 2018,DOG,English Cocker Spaniel,,M,FALSE,Bronx,10473
3516,July 10 2018,DOG,Rottweiler,3,M,FALSE,Bronx,
3517,July 17 2018,DOG,Shih Tzu,8,M,FALSE,Bronx,10466
3521,May 12 2019,DOG,,4,M,TRUE,Bronx,10470
3528,May 23 2019,DOG,Yorkshire Terrier,1,M,FALSE,Bronx,
3529,May 25 2019,DOG,Pit Bull,,M,TRUE,Bronx,10467
3533,May 04 2019,DOG,Shih Tzu,,M,FALSE,Bronx,10453
3536,May 15 2019,DOG,Pit Bull,2,M,FALSE,Bronx,
3537,June 04 2019,DOG,Pekingese,5,M,TRUE,Bronx,10469
3538,June 05 2019,DOG,SMALL MIX BREED,1,M,FALSE,Bronx,10454
3540,June 09 2019,DOG,Mixed/Other,,M,FALSE,Bronx,10459
3543,June 01 2019,DOG,Maltese,7M,M,FALSE,Bronx,
3550,April 23 2019,DOG,Rottweiler,3,M,FALSE,Bronx,10468
3552,May 21 2019,DOG,BOXER / PIT BULL MIX,3,M,TRUE,Bronx,10455
3553,May 01 2019,DOG,Lhasa Apso,13,M,FALSE,Bronx,10462
3558,June 16 2019,DOG,Boxer,5,M,FALSE,Bronx,10461
3559,June 22 2019,DOG,Mixed/Other,5,M,FALSE,Bronx,10458
3561,June 20 2019,DOG,POMERANIAN/HUSKY MIX,1,M,TRUE,Bronx,10455
3563,June 19 2019,DOG,Pit Bull,5,M,FALSE,Bronx,10460
3564,June 21 2019,DOG,Chihuahua,3,M,TRUE,Bronx,
3575,June 24 2019,DOG,Yorkshire Terrier,5,M,FALSE,Bronx,10453
3577,June 21 2019,DOG,Yorkshire Terrier,14,M,TRUE,Bronx,10468
3581,June 28 2019,DOG,,14,M,FALSE,Bronx,10465
3583,June 29 2019,DOG,UNKNOWN,2,M,FALSE,Bronx,10460
3585,July 02 2019,DOG,Yorkshire Terrier,5,M,FALSE,Bronx,10460
3590,July 04 2019,DOG,LABRADOR AND BEAGLE MIX,,M,TRUE,Bronx,10465
3591,July 05 2019,DOG,Basset Hound,9,M,TRUE,Bronx,10463
3594,June 22 2019,DOG,,,M,FALSE,Bronx,10465
3602,July 09 2019,DOG,LARGE MIX BREED,3,M,FALSE,Bronx,10451
3603,July 09 2019,DOG,HUSKY,3M,M,FALSE,Bronx,
3604,July 05 2019,DOG,Mixed/Other,2,M,FALSE,Bronx,10468
3607,July 10 2019,DOG,Pit Bull,3,M,FALSE,Bronx,10472
3616,July 14 2019,DOG,Chihuahua,9,M,TRUE,Bronx,10459
